[2026. 6. 19. 오후 3:19:52] FINAL_FAILED: Japan W vs Czech Republic W | Nations League Women
[2026. 6. 19. 오후 3:20:46] FINAL_FAILED: Montenegro W vs Kosovo W | European League Women
[2026. 6. 19. 오후 3:21:12] FINAL_FAILED: Latvia W vs Estonia W | European League Women
[2026. 6. 19. 오후 3:22:07] FINAL_FAILED: Croatia W vs North Macedonia W | European League Women
[2026. 6. 19. 오후 3:22:35] FINAL_FAILED: Austria vs Luxembourg | European League
[2026. 6. 19. 오후 3:23:02] FINAL_FAILED: Türkiye vs Paraguay | World Cup
[2026. 6. 19. 오후 3:23:29] FINAL_FAILED: Seoul W vs Gyeongju W | WK-League
[2026. 6. 19. 오후 3:23:56] FINAL_FAILED: Hwacheon KSPO W vs Gumi Sportstoto W | WK-League
[2026. 6. 19. 오후 3:24:22] FINAL_FAILED: Boeun Sangmu W vs Suwon FMC W | WK-League
[2026. 6. 19. 오후 3:24:48] FINAL_FAILED: Netherlands vs Sweden | World Cup
[2026. 6. 19. 오후 3:25:15] FINAL_FAILED: Germany vs Ivory Coast | World Cup
[2026. 6. 19. 오후 3:25:45] FINAL_FAILED: Texas Rangers vs San Diego Padres | MLB
[2026. 6. 19. 오후 3:26:12] FINAL_FAILED: Houston Astros vs Cleveland Guardians | MLB
[2026. 6. 19. 오후 3:26:40] FINAL_FAILED: Kansas City Royals vs St.Louis Cardinals | MLB
[2026. 6. 19. 오후 3:27:08] FINAL_FAILED: Athletics vs Los Angeles Angels | MLB
[2026. 6. 19. 오후 3:27:41] FINAL_FAILED: Arizona Diamondbacks vs Minnesota Twins | MLB
[2026. 6. 19. 오후 3:28:10] FINAL_FAILED: Los Angeles Dodgers vs Baltimore Orioles | MLB
[2026. 6. 19. 오후 3:28:40] FINAL_FAILED: Seattle Mariners vs Boston Red Sox | MLB
[2026. 6. 19. 오후 3:29:06] FINAL_FAILED: Yomiuri Giants vs Chunichi Dragons | NPB
[2026. 6. 19. 오후 3:29:33] FINAL_FAILED: Yakult Swallows vs Hiroshima Carp | NPB
[2026. 6. 19. 오후 3:30:02] FINAL_FAILED: Orix Buffaloes vs Seibu Lions | NPB
[2026. 6. 19. 오후 3:30:57] FINAL_FAILED: NC Dinos vs SSG Landers | KBO
[2026. 6. 19. 오후 3:31:24] FINAL_FAILED: Kiwoom Heroes vs Lotte Giants | KBO
[2026. 6. 19. 오후 3:31:49] FINAL_FAILED: Hanwha Eagles vs Samsung Lions | KBO
[2026. 6. 19. 오후 3:32:15] FINAL_FAILED: TSG Hawks vs Wei Chuan Dragons | CPBL
[2026. 6. 19. 오후 3:32:41] FINAL_FAILED: Chiba Lotte Marines vs Rakuten Gold. Eagles | NPB
[2026. 6. 19. 오후 3:33:07] FINAL_FAILED: Rakuten Monkeys vs Fubon Guardians | CPBL
[2026. 6. 19. 오후 3:33:34] FINAL_FAILED: Yokohama BayStars vs Hanshin Tigers | NPB
[2026. 6. 19. 오후 3:34:02] FINAL_FAILED: Detroit Tigers vs Chicago White Sox | MLB
[2026. 6. 19. 오후 3:34:26] FINAL_FAILED: New York Yankees vs Cincinnati Reds | MLB
[2026. 6. 19. 오후 3:34:52] FINAL_FAILED: Chicago Cubs vs Toronto Blue Jays | MLB
[2026. 6. 19. 오후 3:35:18] FINAL_FAILED: Texas Rangers vs San Diego Padres | MLB
[2026. 6. 19. 오후 3:35:46] FINAL_FAILED: Miami Marlins vs San Francisco Giants | MLB
[2026. 6. 19. 오후 3:36:13] FINAL_FAILED: Tampa Bay Rays vs Washington Nationals | MLB
[2026. 6. 19. 오후 3:37:03] FINAL_FAILED: Houston Astros vs Cleveland Guardians | MLB
[2026. 6. 19. 오후 3:37:29] FINAL_FAILED: USA W vs Italy W | Nations League Women
[2026. 6. 19. 오후 3:37:53] FINAL_FAILED: Netherlands W vs Poland W | Nations League Women
[2026. 6. 19. 오후 3:38:18] FINAL_FAILED: Japan W vs Dominican Republic W | Nations League Women
[2026. 6. 19. 오후 3:38:43] FINAL_FAILED: Czech Republic vs Spain | European League
[2026. 6. 19. 오후 3:39:33] FINAL_FAILED: Greece W vs Latvia W | European League Women
[2026. 6. 19. 오후 3:39:59] FINAL_FAILED: Portugal vs Hungary | European League
[2026. 6. 19. 오후 3:40:52] FINAL_FAILED: Switzerland vs Latvia | European League
[2026. 6. 19. 오후 3:41:18] FINAL_FAILED: Slovakia W vs Bosnia & Herzegovina W | European League Women
[2026. 6. 19. 오후 3:41:44] FINAL_FAILED: Romania W vs Portugal W | European League Women
[2026. 6. 19. 오후 3:42:09] FINAL_FAILED: Hungary W vs Montenegro W | European League Women
[2026. 6. 19. 오후 3:43:01] FINAL_FAILED: Switzerland W vs Azerbaijan W | European League Women
[2026. 6. 19. 오후 3:43:25] FINAL_FAILED: Turkey W vs Germany W | Nations League Women
[2026. 6. 19. 오후 3:43:50] FINAL_FAILED: Greece vs Austria | European League
[2026. 6. 19. 오후 3:44:15] FINAL_FAILED: Romania vs Denmark | European League
[2026. 6. 19. 오후 3:44:39] FINAL_FAILED: Finland vs Slovakia | European League
[2026. 6. 19. 오후 3:45:29] FINAL_FAILED: Israel vs North Macedonia | European League
[2026. 6. 20. 오후 2:16:02] FINAL_FAILED: Tunisia vs Japan | World Cup
