[2026. 6. 6. 오후 11:13:51] FAILED: Anyone's Legend vs Bilibili Gaming | LPL | 2026. 06. 08. 18:00
[2026. 6. 6. 오후 11:14:25] FAILED: Anyone's Legend vs Bilibili Gaming | LPL | 2026. 06. 08. 18:00
[2026. 6. 7. 오전 9:16:59] FAILED: G2 Esports vs Karmine Corp | LEC | 2026. 06. 08. 24:00
[2026. 6. 7. 오전 9:17:34] FAILED: Anyone's Legend vs Bilibili Gaming | LPL | 2026. 06. 08. 18:00
[2026. 6. 7. 오전 9:18:16] FAILED: Liverpool Montevideo vs Cerro Largo | Primera División - Apertura | 2026. 06. 09. 07:00
[2026. 6. 7. 오전 9:19:11] FAILED: Connecticut Sun W vs New York Liberty W | NBA W | 2026. 06. 09. 08:00
[2026. 6. 7. 오전 9:19:50] FAILED: Washington Mystics W vs Indiana Fever W | NBA W | 2026. 06. 09. 08:00
[2026. 6. 7. 오전 9:20:25] FAILED: Chicago Cubs vs San Francisco Giants | MLB | 2026. 06. 08. 09:30
[2026. 6. 7. 오전 9:21:00] FAILED: Baltimore Orioles vs Seattle Mariners | MLB | 2026. 06. 09. 07:35
[2026. 6. 7. 오전 9:21:37] FAILED: Tampa Bay Rays vs Boston Red Sox | MLB | 2026. 06. 09. 07:40
[2026. 6. 7. 오전 9:22:23] FAILED: Cleveland Guardians vs New York Yankees | MLB | 2026. 06. 09. 07:40
[2026. 6. 7. 오전 9:22:57] FAILED: Toronto Blue Jays vs Philadelphia Phillies | MLB | 2026. 06. 09. 08:07
[2026. 6. 7. 오전 9:23:34] FAILED: G2 Esports vs Karmine Corp | LEC | 2026. 06. 08. 24:00
[2026. 6. 7. 오전 9:24:05] FAILED: Anyone's Legend vs Bilibili Gaming | LPL | 2026. 06. 08. 18:00
